run,query_no,title,final_decision,acquired_file_path,source_path,destination_path,status
run_1_500,86,[PDF] Georgia Energy Report,review,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/Georgia-Energy-Report-2022_1.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/Georgia-Energy-Report-2022_1.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/run_1_500/Georgia-Energy-Report-2022_1.pdf,copied
run_1_500,149,3-1 Georgia Freight Plan 3. Georgia’s Freight Transportation Infrastructure,review,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/Chapter3_Georgia_Freight_Transportation_Infrastructure.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/Chapter3_Georgia_Freight_Transportation_Infrastructure.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/run_1_500/Chapter3_Georgia_Freight_Transportation_Infrastructure.pdf,copied
run_1_500,451,[PDF] Economic Development Agreement with Hyundai Motor Group,review,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/hyundai_motor_group_economic_development_agreement_-_executive_summary.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/hyundai_motor_group_economic_development_agreement_-_executive_summary.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/run_1_500/hyundai_motor_group_economic_development_agreement_-_executive_summary.pdf,copied
run_1_500,294,[PDF] 1 Summary - Georgia Department of Economic Development,review,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/hyundai_motor_group_incentives_-_updated_executive_summary_09.08.23_final.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/hyundai_motor_group_incentives_-_updated_executive_summary_09.08.23_final.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/run_1_500/hyundai_motor_group_incentives_-_updated_executive_summary_09.08.23_final.pdf,copied
run_1_500,376,[PDF] SUPERCHARGED: - Raphael Warnock,review,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/Supercharged-IRA-Report.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/Supercharged-IRA-Report.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/run_1_500/Supercharged-IRA-Report.pdf,copied
run_1_500,354,Georgia Business Assets a Powerful Magnet for Electric Vehicle Industry | Georgia.org,review,,,,missing_source
run_1_500,25,Georgia Electric Vehicle Manufacturing | Georgia Department of Economic Development,review,,,,missing_source
run_1_500,354,Georgia Emerges as Hub for Sustainability | Georgia.org,review,,,,missing_source
run_1_500,362,[PDF] FY 2012 Annual Progress Report for Energy Storage R&D,review,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/2_arra.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/rerun_1000_20260321_111440/run_1_500/stage2_downloads/2_arra.pdf,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/run_1_500/2_arra.pdf,copied
run_1_500,394,"EV Parts Supplier NVH Korea to Create Over 160 Jobs, Invest $72M in Henry County | Georgia.org",review,,,,missing_source
