idx,query_no,run,url,status,http_status,error,saved_path
1,114,run_1_500,https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/voestalpine.pdf
2,178,run_1_500,https://report.volta.foundation/annual-battery-report/public/Battery_Report_2022.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/Battery_Report_2022.pdf
3,279,run_1_500,https://www.energy.gov/sites/default/files/2024-06/EA_FONSI_Final_LPO_Aspen%20Aerogel.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/EA_FONSI_Final_LPO_Aspen_Aerogel.pdf
4,323,run_1_500,https://climatepower.us/wp-content/uploads/2024/03/State-of-the-Clean-Energy-Boom_Georgia.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/State-of-the-Clean-Energy-Boom_Georgia.pdf
5,334,run_1_500,https://climatepower.us/wp-content/uploads/2024/09/Clean-Energy-Investments-Are-Revitalizing-Georgia-Communities-CEE-2024_09_09-DR.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/Clean-Energy-Investments-Are-Revitalizing-Georgia-Communities-CEE-2024_09_09-DR.pdf
6,34,run_1_500,https://georgia.org/sites/default/files/2021-07/georgia-highlights_4th_edition_25th_anniversary_2021.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/georgia-highlights_4th_edition_25th_anniversary_2021.pdf
7,443,run_1_500,https://georgia.org/sites/default/files/2023-01/2022-5-11_gdecd_board_minutes.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/2022-5-11_gdecd_board_minutes.pdf
8,474,run_1_500,https://georgia.org/sites/default/files/2022-08/08.08.2022_response_to_404_permit_public_notice_comments.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/08.08.2022_response_to_404_permit_public_notice_comments.pdf
9,490,run_1_500,https://www.congress.gov/119/crec/2025/04/28/171/70/CREC-2025-04-28.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/CREC-2025-04-28.pdf
10,491,run_1_500,https://www.utilitydive.com/news/Hyundai-SK-On-plan-5B-Georgia-EV-battery-joint-venture/648667/?ref=cleantech-vanguard.com,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/648667.bin
11,130,run_501_1000,https://gaports.com/wp-content/uploads/2024/10/GPA-ACFR.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/GPA-ACFR.pdf
12,144,run_501_1000,https://www.utilitydive.com/news/Hyundai-SK-On-plan-5B-Georgia-EV-battery-joint-venture/648667?ref=cleantech-vanguard.com,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/648667__dup2.bin
13,180,run_501_1000,https://www.coxenterprises.com/wp-content/uploads/2025/08/2024_Report_R7.8_DIGITAL-Final.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/2024_Report_R7.8_DIGITAL-Final.pdf
14,224,run_501_1000,https://www.gatransmission.com/wp-content/uploads/2020/04/2019-Georgia-Transmission-Annual-Report.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/2019-Georgia-Transmission-Annual-Report.pdf
15,244,run_501_1000,https://georgia.org/sites/default/files/2023-01/2022-5-11_gdecd_board_minutes.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/2022-5-11_gdecd_board_minutes__dup2.pdf
16,29,run_501_1000,https://www.governmentattic.org/21docs/TSAcongNonPubRpts_2007-2014.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/TSAcongNonPubRpts_2007-2014.pdf
17,407,run_501_1000,https://cdn-ceo-ca.s3.amazonaws.com/1i55723-Full%20Circle%20Lithium%20Deck.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/1i55723-Full_Circle_Lithium_Deck.pdf
18,459,run_501_1000,https://selectgeorgia-production-assets.s3.amazonaws.com/media/documents/Electric_Transportation_Publication_2025.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/Electric_Transportation_Publication_2025.pdf
19,477,run_501_1000,https://solarbaba.com/wp-content/uploads/ESN-Report-2026.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/ESN-Report-2026.pdf
20,479,run_501_1000,https://new.abb.com/docs/librariesprovider89/default-document-library/automotive-battery-supply-chain-analysis-2021-final_abb_ams---abridged-version-docx.pdf?sfvrsn=3bc9f708_2,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/automotive-battery-supply-chain-analysis-2021-final_abb_ams---abridged-version-docx.pdf
21,58,run_501_1000,https://www.sec.gov/files/litigation/apdocuments/3-21253-2023-03-13-applicant-strege-brief.pdf,downloaded,200,,/home/sm11926/Downloads/Tavily_ev automation/Taviliy_HTML_PDF 3/tavily_review_ready_documents_rerun_1000/non_html_downloads_21/3-21253-2023-03-13-applicant-strege-brief.pdf
