run,query_no,title,url,acquisition_status
run_1_500,354,Georgia Business Assets a Powerful Magnet for Electric Vehicle Industry | Georgia.org,https://georgia.org/blog/georgia-business-assets-powerful-magnet-electric-vehicle-industry,DownloadFailed:403 Client Error: Forbidden for url: https://georgia.org/blog/georgia-business-assets-powerful-magnet-electric-vehicle-industry
run_1_500,25,Georgia Electric Vehicle Manufacturing | Georgia Department of Economic Development,https://georgia.org/EV,DownloadFailed:403 Client Error: Forbidden for url: https://georgia.org/EV
run_1_500,354,Georgia Emerges as Hub for Sustainability | Georgia.org,https://georgia.org/blog/georgia-emerges-hub-sustainability,DownloadFailed:403 Client Error: Forbidden for url: https://georgia.org/blog/georgia-emerges-hub-sustainability
run_1_500,394,"EV Parts Supplier NVH Korea to Create Over 160 Jobs, Invest $72M in Henry County | Georgia.org",https://www.georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county,DownloadFailed:403 Client Error: Forbidden for url: https://www.georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county
run_1_500,394,"EV Parts Supplier NVH Korea to Create Over 160 Jobs, Invest $72M in Henry County | Georgia.org",https://georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county,DownloadFailed:403 Client Error: Forbidden for url: https://georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county
run_1_500,279,[PDF] Final Environmental Assessment - Department of Energy,https://www.energy.gov/sites/default/files/2024-06/EA_FONSI_Final_LPO_Aspen%20Aerogel.pdf,"DownloadFailed:('Connection broken: IncompleteRead(20301925 bytes read, 821915 more expected)', IncompleteRead(20301925 bytes read, 821915 more expected))"
run_1_500,114,"Bartow County, Georgia Fulfills Location & Logistical ...",https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,
run_1_500,354,"Second Global Automotive Supplier for Hyundai Metaplant To Create 1,500 Jobs | Georgia.org",https://www.georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs,DownloadFailed:403 Client Error: Forbidden for url: https://www.georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs
run_1_500,354,Hyundai Motor Group and SK On To Build EV Battery Facility in Bartow County | Georgia.org,https://georgia.org/press-release/hyundai-motor-group-and-sk-build-ev-battery-facility-bartow-county,DownloadFailed:403 Client Error: Forbidden for url: https://georgia.org/press-release/hyundai-motor-group-and-sk-build-ev-battery-facility-bartow-county
run_1_500,194,"Second Global Automotive Supplier for Hyundai Metaplant To Create 1,500 Jobs | Georgia.org",https://georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs,DownloadFailed:403 Client Error: Forbidden for url: https://georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs
run_1_500,74,Longtime Kia and HMG Supplier to Build Manufacturing Facility in Bulloch County | Georgia.org,https://www.georgia.org/press-release/longtime-kia-and-hmg-supplier-build-manufacturing-facility-bulloch-county,DownloadFailed:403 Client Error: Forbidden for url: https://www.georgia.org/press-release/longtime-kia-and-hmg-supplier-build-manufacturing-facility-bulloch-county
