run,query_no,title,url,document_url,source_url,file_type,source_domain,acquisition_status,final_decision,is_html_like_url,url_extension_guess
run_1_500,114,"Bartow County, Georgia Fulfills Location & Logistical ...",https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,PDF,georgia.org,,review,False,pdf
run_1_500,121,Top tier supplier signs on for Kia facility in West Point | Georgia.org,https://georgia.org/newsroom/press-releases/top-tier-supplier-signs-on-for-kia-facility-in-west-point,https://georgia.org/newsroom/press-releases/top-tier-supplier-signs-on-for-kia-facility-in-west-point,https://georgia.org/newsroom/press-releases/top-tier-supplier-signs-on-for-kia-facility-in-west-point,,georgia.org,DownloadFailed:403 Client Error: Forbidden for url: https://georgia.org/newsroom/press-releases/top-tier-supplier-signs-on-for-kia-facility-in-west-point,review,True,
run_1_500,124,"Hyundai, LG to Put $2B More Into Georgia Battery Joint Venture - Global Atlanta",https://www.globalatlanta.com/hyundai-lg-to-put-2b-more-into-georgia-battery-joint-venture/,https://www.globalatlanta.com/hyundai-lg-to-put-2b-more-into-georgia-battery-joint-venture/,https://www.globalatlanta.com/hyundai-lg-to-put-2b-more-into-georgia-battery-joint-venture/,,www.globalatlanta.com,,review,True,
run_1_500,128,Georgia’s Extensive Logistics Network Speeds Goods to Market | Georgia.org,https://georgia.org/blog/georgias-extensive-logistics-network-speeds-goods-market,https://georgia.org/blog/georgias-extensive-logistics-network-speeds-goods-market,https://georgia.org/blog/georgias-extensive-logistics-network-speeds-goods-market,,georgia.org,,review,True,
run_1_500,130,Georgia Ports welcomes Wallenius Wilhelmsen’s new Brunswick hub facility - Georgia Ports Authority,https://gaports.com/press-releases/georgia-ports-welcomes-wallenius-wilhelmsens-new-brunswick-hub-facility/,https://gaports.com/press-releases/georgia-ports-welcomes-wallenius-wilhelmsens-new-brunswick-hub-facility/,https://gaports.com/press-releases/georgia-ports-welcomes-wallenius-wilhelmsens-new-brunswick-hub-facility/,,gaports.com,,review,True,
run_1_500,130,"Kia to tap Savannah for Telluride components, Brunswick for export - Georgia Ports Authority",https://gaports.com/press-releases/kia-to-tap-savannah-for-telluride-components-brunswick-for-export,https://gaports.com/press-releases/kia-to-tap-savannah-for-telluride-components-brunswick-for-export,https://gaports.com/press-releases/kia-to-tap-savannah-for-telluride-components-brunswick-for-export,,gaports.com,,review,True,
run_1_500,136,"Battery Resourcers to Open North America’s Largest Lithium-ion Battery Recycling Facility in Georgia, Create 150 Jobs | Georgia.org",https://georgia.org/press-release/battery-resourcers-open-north-americas-largest-lithium-ion-battery-recycling-facility,https://georgia.org/press-release/battery-resourcers-open-north-americas-largest-lithium-ion-battery-recycling-facility,https://georgia.org/press-release/battery-resourcers-open-north-americas-largest-lithium-ion-battery-recycling-facility,,georgia.org,DownloadFailed:403 Client Error: Forbidden for url: https://georgia.org/press-release/battery-resourcers-open-north-americas-largest-lithium-ion-battery-recycling-facility,review,True,
run_1_500,146,"Port of Savannah | Savannah Infrastructure | Port, Interstate, Rail, Airport",https://seda.org/do-business-here/infrastructure/,https://seda.org/do-business-here/infrastructure/,https://seda.org/do-business-here/infrastructure/,,seda.org,,review,True,
run_1_500,147,Hyundai Supplier PHA Will Bring 400+ Jobs To Georgia - Automotive - Business Facilities Magazine,https://businessfacilities.com/hyundai-supplier-pha-400-jobs-georgia,https://businessfacilities.com/hyundai-supplier-pha-400-jobs-georgia,https://businessfacilities.com/hyundai-supplier-pha-400-jobs-georgia,,businessfacilities.com,DownloadFailed:403 Client Error: Forbidden for url: https://businessfacilities.com/hyundai-supplier-pha-400-jobs-georgia,review,True,
run_1_500,154,Food Processing | Georgia Food Manufacturing Licenses & Permits,https://www.georgia.org/industries/food-processing,https://www.georgia.org/industries/food-processing,https://www.georgia.org/industries/food-processing,,www.georgia.org,,review,True,
